Nr,Nafn,Breidd,Lengd,Haed,Dags,Vindatt,VindattAsc,VindattAscEng,Vindhradi,Vindhvida,Hiti,Veghiti,Umf10Min,UmfSum,Raki,Daggarmark,VindattStDev,Loftthrystingur,Sjavarhaed,PntX,PntY,IdButur1,IdButur2,Nr_Vedurstofa,Status
30,Breiðdalsheiði,64.906967,-14.6035,494,14.1.2024 12:50:00,294,VNV,WNW,13.32,17.54,-11.56,-6.083,0,0,79.7,-14.366,NA,NA,NA,707943.057,496862.146,911060027,NA,35965,DWTRHCS
77,Hafursfell,64.830983,-22.532817,65,14.1.2024 12:50:00,92,A,E,8.66,16.07,-5.836,-4.693,8,166,64.84,-11.397,19.34,NA,NA,332386.053,485842.369,904270027,NA,31958,DWTRHCS
32,Ögur,66.042048,-22.685693,21,14.1.2024 12:50:00,53,NA,NE,4.52,6.37,-6.292,-3.343,0,21,68.06,-11.225,NA,NA,NA,333008.841,621054.594,906160027,NA,32654,DWTRHCS
35,Skálholt,64.132283,-20.530783,98,14.1.2024 12:50:00,72,ANA,ENE,4.181,8.72,-7.18,-6.124,6,104,69.44,-11.826,NA,NA,NA,425455.57,404168.867,902080027,NA,36411,DWTRHCS
6,Mýrdalssandur,63.463675,-18.609565,37,14.1.2024 12:50:00,354,N,N,8.07,10.19,-4.72,-3.915,13,192,54,-12.624,13.14,NA,NA,519475.125,328783.556,901030027,NA,36156,DWTRHCS
10,Siglufjarðarvegur,66.128917,-19.0724,100,14.1.2024 12:50:00,47,NA,NE,5.014,8.43,-7.623,-5.923,2,46,65.65,-12.948,13.3,NA,NA,496728.942,625874.599,908140027,NA,33750,DWTRHCS
14,Reykjanesbraut,64.002433,-22.22985,25,14.1.2024 12:50:00,7,N,N,8.37,12.05,-4.296,-5.563,177,6179,66.75,-9.559,10,NA,NA,342030.028,392826.479,1441160027,1441620027,31363,DWTRHCS
18,Gjábakki,64.248117,-21.023033,132,14.1.2024 12:50:00,11,N,N,0.691,1.176,-7.229,-6.587,30,442,82.7,-9.671,23.04,NA,NA,401904.873,417749.326,902220027,NA,31599,DWTRHCS
20,Fremri-Háls,66.253117,-15.81625,197,14.1.2024 12:50:00,338,NNV,NNW,9.1,11.56,-9.21,-7.01,1,10,89.1,-10.675,NA,NA,NA,643084.929,643327.926,910170027,NA,34733,DWTRHCS
55,Vatnaleið,64.905745,-22.85795,228,14.1.2024 12:50:00,350,N,N,2.966,4.998,-7.07,-5.671,5,115,83.2,-9.438,NA,NA,NA,317486.822,495063.111,904330027,NA,31948,DWTRHCS
